,Bathrooms,Bedrooms,Fibre Internet,Floor Size,Garages,Listing Date,Listing Number,Price,Town,Type of Property,Erf Size,Garden,Parking,Pool,Pet Friendly,No Pets Allowed,Secure Parking,Furnished,Flatlet,ADSL Internet,Furnished (Optional),Satellite Internet,Fixed WiMax Internet
331,2.0,3.0,,170 m²,2.0,01 August 2020,108937617,2950000.0000,"Muizenberg, Cape Town",House,601 m²,,4.0,,,,,,1.0,,,,
332,2.0,4.0,,,1.0,06 July 2020,108837359,6750000.0000,"2 Wraysbury Close, Newlands, Cape Town",House,776 m²,,4.0,1.0,,,,,,,,,
333,1.0,1.0,,51 m²,1.0,06 August 2020,108957385,1950000.0000,"Green Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
334,1.0,2.0,,70 m²,,07 August 2020,108962828,1395000.0000,"Pinelands, Cape Town",Apartment / Flat,,,,,,1.0,,,,,,,
335,2.0,5.0,,121 m²,,17 August 2020,108993967,2250000.0000,"Woodstock, Cape Town",House,,,,,,,,,,,,,
336,2.0,2.0,1.0,,1.0,17 August 2020,108997427,3380000.0000,"261 High Level Road, Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
337,2.5,3.0,,195 m²,1.0,06 August 2020,108958172,5795000.0000,"Newlands, Cape Town",House,,,1.0,,1.0,,,,1.0,,,,
338,2.0,3.0,,142 m²,,27 July 2020,108915070,5895000.0000,"Fresnaye, Cape Town",Apartment / Flat,,,2.0,1.0,,,,,,,,,
339,15.0,15.0,,170 m²,3.0,20 June 2020,108782193,50000000.0000,"94 Adderley Street, Cape Town City Centre, Cape Town",Apartment / Flat,171 m²,,,1.0,,1.0,,,,,,,
340,1.0,2.0,,,,06 July 2020,108839222,1195000.0000,"11 Queen Street, Springfield Terrace, Zonnebloem, Cape Town",Apartment / Flat,52 m²,,1.0,,,,,,,,,,
341,2.0,3.0,,106 m²,2.0,03 April 2019,107367023,5250000.0000,"Green Point, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,,
342,1.0,1.0,,61 m²,,23 July 2020,108907258,1265000.0000,"Muizenberg, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
343,2.5,3.0,,160 m²,,09 June 2020,108723589,5200000.0000,"13 Glynnville Terrace, Gardens, Cape Town",House,137 m²,1.0,,,,,,,,,,,
344,3.0,6.0,,350 m²,,15 August 2020,108991126,4650000.0000,"Plumstead, Cape Town",House,,,,,,,,,,,,,
345,2.0,2.0,,93 m²,1.0,03 August 2020,108944127,4100000.0000,"Green Point, Cape Town",Apartment / Flat,93 m²,,,,,,,,,,,,
346,2.0,2.0,,91 m²,,01 July 2020,108820467,2550000.0000,"8 Buiten Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
347,1.0,0.5,,38 m²,,13 June 2020,108759923,1000000.0000,"159 Beach Road, Mouille Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
348,3.0,3.0,,165 m²,2.0,19 June 2020,108779609,6300000.0000,"29 Camelia Close, Constantia, Cape Town",House,415 m²,,1.0,,,,,,,,,,
349,1.0,,,40 m²,,23 July 2020,108907280,975000.0000,"Muizenberg, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
350,2.0,5.0,,200 m²,2.0,24 July 2020,108910917,3795000.0000,"Kirstenhof, Cape Town",House,695 m²,1.0,2.0,1.0,1.0,,,,,,,,
351,1.0,3.0,,,1.0,15 August 2020,108991312,1950000.0000,"Maitland, Cape Town",House,412 m²,,,1.0,1.0,,,,,,,,
352,3.5,3.0,,270 m²,,29 July 2020,108929004,25995000.0000,"Mouille Point, Cape Town",Apartment / Flat,,1.0,3.0,1.0,1.0,,,,,,,,
353,3.0,4.0,,200 m²,3.0,01 July 2020,108820339,3450000.0000,"23 Greenwich Road, Chelsea, Diep River, Cape Town",House,807 m²,,1.0,1.0,,,,,1.0,,,,
354,1.0,4.0,,116 m²,1.0,19 June 2020,108780973,2995000.0000,"63 Rose Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,,1.0,,,,,,,
355,1.0,2.0,,,,14 September 2020,109115354,699000.0000,"Pelican Park, Cape Town",House,,1.0,1.0,,,,,,,,,,
356,1.0,1.0,,77 m²,1.0,03 June 2020,108705025,2050000.0000,"100 Shortmarket Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,,1.0,,,,,,,
