,Bathrooms,Bedrooms,Floor Size,Listing Date,Listing Number,Price,Town,Type of Property,Furnished,Parking,Pet Friendly,Pool,No Pets Allowed,Erf Size,Garages,Garden,Secure Parking,Fibre Internet,Flatlet,Satellite Internet,ADSL Internet
1754,2.0,3.0,,03 February 2020,108397232,1400000.0000,"3 De Villiers Road, Maitland, Cape Town",House,,2.0,,,,336 m²,2.0,,,,,,
1755,1.0,2.0,72 m²,19 December 2019,108276606,3300000.0000,"Sea Point, Cape Town",Apartment / Flat,,1.0,1.0,,,,1.0,,,,,,
1756,1.0,1.0,75 m²,03 July 2019,107661668,2395000.0000,"1 Bree St, Foreshore, Cape Town",Apartment / Flat,,,,1.0,1.0,,1.0,,,,,,
1757,2.5,4.0,336 m²,05 December 2018,107012472,5500000.0000,"Tokai, Cape Town",House,,3.0,1.0,1.0,,1 050 m²,2.0,1.0,,,,,
1758,1.0,1.0,42 m²,03 July 2019,107662995,1850000.0000,"88 St Georges Mall, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,,
1759,2.0,2.0,93 m²,27 January 2020,106345829,4490000.0000,"Gardens, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1760,2.0,2.0,102 m²,19 December 2018,107045413,6990000.0000,"Green Point, Cape Town",Apartment / Flat,,2.0,,,,,,,,,,,
1761,2.0,2.0,87 m²,24 October 2018,106882993,2950000.0000,"Gardens, Cape Town",Apartment / Flat,,,,1.0,1.0,,1.0,,,,,,
1762,,,,21 April 2020,108630199,1770000.0000,"45 Chapel Street,zonnebloem,cape Town, Zonnebloem, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1763,1.0,1.0,,25 June 2020,108802278,899000.0000,"Diep River, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
1764,1.0,1.0,63 m²,09 July 2019,107684257,3250000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,1.0,1.0,,,1.0,,,,,,,,
1765,1.0,1.0,58 m²,19 December 2019,108277037,2200000.0000,"Gardens, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1766,3.0,7.0,529 m²,30 December 2019,108284456,10995000.0000,"Constantia, Cape Town",House,,,,1.0,,3 188 m²,2.0,,,,,,
1767,5.0,5.0,,02 March 2020,104381018,34500000.0000,"Camps Bay, Cape Town",House,,,,1.0,,831 m²,2.0,,,,1.0,,
1768,4.0,5.0,,17 December 2019,108271298,9950000.0000,"Camps Bay, Cape Town",House,,3.0,,1.0,,766 m²,2.0,,,,1.0,,
1769,1.0,1.0,63 m²,12 August 2019,107814312,1950000.0000,"22 Bloem Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,,
1770,2.0,2.0,93 m²,27 January 2020,106346074,4590000.0000,"Gardens, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1771,1.0,1.0,43 m²,28 August 2019,107880234,1950000.0000,"66 Keerom Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,1.0,,1.0,,,,,,
1772,2.0,2.0,111 m²,05 November 2018,106918149,6495000.0000,"Bantry Bay, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
1773,1.0,1.0,128 m²,30 January 2018,105982209,4495000.0000,"Gardens, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,,,
1774,1.0,1.0,48 m²,23 July 2019,107731447,2950000.0000,"20 Riebeek Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,1.0,,1.0,,,,,,
1775,1.0,2.0,,28 February 2020,108512078,1850000.0000,"Zonnebloem, Cape Town",House,,1.0,,1.0,,63 m²,,,,1.0,,,
1776,3.5,3.0,298 m²,04 September 2019,103509829,10995000.0000,"Green Point, Cape Town",Townhouse,,,,1.0,1.0,,2.0,,,,,,
1777,2.0,3.0,,06 February 2020,108411404,3395000.0000,"Woodstock, Cape Town",House,,,,,,457 m²,3.0,1.0,,1.0,1.0,,
1778,3.0,4.0,,28 February 2020,108511406,4850000.0000,"Pinelands, Cape Town",House,,3.0,1.0,1.0,,1 383 m²,3.0,,,,,,
1779,3.0,4.0,130 m²,03 December 2019,108239009,4750000.0000,"3 St Joans Road Timour Hall Estate, Plumstead, Cape Town",House,,2.0,,1.0,,496 m²,1.0,1.0,,,,,
1780,2.0,2.0,93 m²,27 January 2020,106345829,4490000.0000,"Gardens, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1781,1.0,1.0,48 m²,07 August 2019,107804863,2195000.0000,"57 Heerengracht Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,,
1782,3.5,3.0,,28 February 2020,107044891,5995000.0000,"Garden Peak Lane Nieuwe Steenberg, Tokai, Cape Town",House,,,,,,235 m²,2.0,,,,,,
1783,3.0,5.0,,04 March 2020,108530035,3500000.0000,"35 Pollsmoor Road, Kirstenhof, Cape Town",House,,1.0,,,,787 m²,,1.0,,1.0,,,
1784,2.0,2.0,87 m²,24 October 2018,106882993,2950000.0000,"Gardens, Cape Town",Apartment / Flat,,,,1.0,1.0,,1.0,,,,,,
1785,1.0,1.0,,25 June 2020,108802278,899000.0000,"Diep River, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
1786,2.0,3.0,248 m²,25 February 2019,107236252,4995000.0000,"1 Rocklands Road, Sea Point, Cape Town",Apartment / Flat,1.0,,1.0,,,,2.0,,,,,,
1787,1.0,2.0,77 m²,22 May 2019,107522889,2995000.0000,"Green Point, Cape Town",Apartment / Flat,,,,,1.0,,,1.0,,1.0,,,
1788,4.0,3.0,190 m²,07 February 2020,108416384,5600000.0000,"Newlands, Cape Town",House,,2.0,1.0,,,300 m²,,,,,,,
1789,1.0,1.0,65 m²,10 October 2019,108041474,1250000.0000,"Mowbray, Cape Town",Apartment / Flat,,,,,,,,,1.0,,,,
1790,1.0,2.0,67 m²,13 November 2019,108164731,1100000.0000,"Ottery, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1791,2.0,1.0,59 m²,20 May 2020,108673811,1950000.0000,"Woodstock, Cape Town",Apartment / Flat,,1.0,,,,,1.0,1.0,,1.0,,,
1792,1.0,1.0,33 m²,17 April 2020,108627457,814504.0000,"Pinelands, Cape Town",Apartment / Flat,,1.0,,,1.0,,,1.0,,,,,
1793,3.5,3.0,177 m²,19 December 2018,107045416,9750000.0000,"Green Point, Cape Town",Apartment / Flat,,2.0,,,,,,,,,,,
1794,1.0,1.0,32 m²,17 April 2020,108627456,789827.0000,"Pinelands, Cape Town",Apartment / Flat,,1.0,,,1.0,,,1.0,,,,,
1795,1.0,1.0,47 m²,19 August 2019,107847295,1500000.0000,"317 The Rondebosch, Belmont Road, Rondebosch, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
1796,2.0,3.0,447 m²,27 September 2017,105635123,15900000.0000,"Oranjezicht, Cape Town",House,,3.0,,1.0,1.0,545 m²,3.0,,,,,,
1797,1.0,1.0,48 m²,09 February 2020,108421252,1550000.0000,"A317 Pinelands Grove Sunrise Road Pinelands, Pinelands, Cape Town",Apartment / Flat,,1.0,,,,,,,,1.0,,,
1798,1.0,1.0,,08 November 2017,105783718,1799000.0000,"8 York Road, Green Point, Cape Town",Apartment / Flat,,,1.0,1.0,,51 m²,,1.0,,,,,
1799,1.0,1.0,43 m²,22 July 2019,107727056,1650000.0000,"66 Keerom Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,,
1800,1.0,0.5,40 m²,15 November 2019,108175250,2200000.0000,"Foreshore, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,,
1801,1.0,2.0,93 m²,20 December 2019,108278704,4900000.0000,"Mouille Point, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,,,,
1802,1.0,1.0,41 m²,02 April 2019,107362497,2495000.0000,"Kalk Bay, Cape Town",Apartment / Flat,,,,,,41 m²,,,,,,,
1803,1.0,1.0,43 m²,08 July 2019,107677913,2450000.0000,"1 Riebeek Street, Cape Town City Centre, Cape Town",Apartment / Flat,1.0,1.0,,1.0,1.0,,,,,,,,
1804,8.0,8.0,,09 May 2019,105767272,19950000.0000,"15a Peter Cloete Avenue, Constantia, Cape Town",House,,,,,,3 834 m²,2.0,,,,,,
1805,1.0,,52 m²,29 March 2018,106182141,1950000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1806,2.5,2.0,133 m²,01 November 2019,108119673,4299000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,,,1.0,1.0,,,,,
1807,2.0,2.0,107 m²,15 October 2019,108058670,5495000.0000,"Bantry Bay, Cape Town",Apartment / Flat,,,,,,107 m²,1.0,,,,,,
1808,3.5,3.0,234 m²,22 October 2018,105718084,15900000.0000,"Tamboerskloof, Cape Town",House,,,,1.0,1.0,738 m²,2.0,,,,,,
1809,1.0,1.0,55 m²,13 December 2019,108267092,3599990.0000,"Sea Point, Cape Town",Apartment / Flat,,,1.0,,,,1.0,,,,,,
1810,4.0,4.0,550 m²,26 February 2020,108490008,42000000.0000,"Camps Bay, Cape Town",House,,,,1.0,,638 m²,,1.0,,,1.0,,
1811,1.0,1.0,33 m²,17 April 2020,108627457,814504.0000,"Pinelands, Cape Town",Apartment / Flat,,1.0,,,1.0,,,1.0,,,,,
1812,2.0,2.0,105 m²,23 January 2018,105961299,7950000.0000,"Camps Bay, Cape Town",Apartment / Flat,,,,1.0,1.0,6 047 m²,2.0,1.0,,,,,
1813,1.0,1.0,45 m²,20 November 2018,106971507,1150000.0000,"Rondebosch, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,,
1814,1.0,1.0,32 m²,17 April 2020,108627456,789827.0000,"Pinelands, Cape Town",Apartment / Flat,,1.0,,,1.0,,,1.0,,,,,
1815,3.5,5.0,300 m²,18 December 2019,108274133,14500000.0000,"6 & 6a Chas Booth Avenue, Camps Bay, Cape Town",House,,2.0,1.0,1.0,,1 784 m²,2.0,1.0,,,,,
1816,1.0,2.0,60 m²,24 February 2020,108479371,1380000.0000,"Pinelands, Cape Town",Apartment / Flat,,1.0,,,,,,1.0,,1.0,,,
1817,1.0,1.0,47 m²,19 August 2019,107847295,1500000.0000,"317 The Rondebosch, Belmont Road, Rondebosch, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
1818,1.0,3.0,192 m²,07 January 2019,107062194,2600000.0000,"Salt River, Cape Town",House,,1.0,1.0,,,192 m²,1.0,,,,,,
1819,1.0,2.0,,25 March 2020,108601420,620000.0000,"Pelican Park, Cape Town",House,,1.0,,,,74 m²,,,,,,,
