,Bathrooms,Bedrooms,Erf Size,Floor Size,Garages,Listing Date,Listing Number,Pet Friendly,Price,Town,Type of Property,Garden,Pool,Secure Parking,Parking,No Pets Allowed,Furnished,Flatlet,Fibre Internet,Furnished (Optional),ADSL Internet,Satellite Internet
783,2.0,3.0,248 m²,129 m²,1.0,17 September 2020,109130791,,2549000.0000,"Kenilworth, Cape Town",House,1.0,,1.0,,,,,,,,
784,1.0,2.0,,89 m²,2.0,17 August 2020,108996005,,1995000.0000,"227 Main Road, Newlands, Cape Town",Townhouse,,,,,1.0,,,,,,
785,2.0,3.0,,96 m²,,15 September 2020,109122894,,1350000.0000,"Surrey Estate, Cape Town",Townhouse,,,,,1.0,,,,,,
786,1.0,3.0,232 m²,109 m²,1.0,15 September 2020,109122607,1.0,1250000.0000,"Kensington, Cape Town",House,,,,,,,,,,,
787,1.0,2.0,,84 m²,2.0,18 September 2020,109135128,,3599000.0000,"Green Point, Cape Town",Apartment / Flat,,,,,,,,,,,
788,1.0,1.0,,69 m²,,18 August 2020,109001205,1.0,2795000.0000,"57 Church Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
789,3.0,3.0,213 m²,,,17 August 2020,108994207,,3500000.0000,"72 Maynard Street, Vredehoek, Cape Town",House,,,2.0,,,,,,,,
790,1.5,2.0,,109 m²,1.0,28 August 2020,109041040,,4550000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,1.0,,,,,,
791,1.0,1.0,,59 m²,1.0,11 September 2020,109107628,,2950000.0000,"17 Dixon Street, De Waterkant, Cape Town",Apartment / Flat,,,,,,,,,,,
792,2.0,2.0,496 m²,,,13 September 2020,109111116,,4150000.0000,"Tokai, Cape Town",House,1.0,1.0,,2.0,,,,,,,
793,3.0,3.0,,253 m²,2.0,19 August 2020,109006296,,10995000.0000,"12 St Johns Road, Fresnaye, Cape Town",Apartment / Flat,,,,,,,,,,,
794,2.5,3.0,,,1.0,22 September 2020,109150469,1.0,2150000.0000,"Kenilworth, Cape Town",Townhouse,,,,1.0,,,,,,,
795,2.0,2.0,,94 m²,1.0,11 September 2020,109107617,,4700000.0000,"17 Dixon Street, De Waterkant, Cape Town",Apartment / Flat,,,,,,,,,,,
796,2.0,4.0,641 m²,,2.0,20 August 2020,109009871,,2950000.0000,"5 Putter Road, Lakeside, Cape Town",House,1.0,1.0,,,,,,,,,
797,1.0,2.0,221 m²,47 m²,,03 September 2020,109060371,1.0,480000.0000,"1 Gooseberry Street, Fisantekraal, Cape Town",House,1.0,,,1.0,,,,,,,
798,2.0,2.0,,125 m²,,22 September 2020,109148311,,3995000.0000,"Fresnaye, Cape Town",Apartment / Flat,,,,,,,,,,,
799,2.0,2.0,,78 m²,,27 August 2020,109035810,,2850000.0000,"Madison Place, 40 Trill Road, Observatory, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
800,1.0,1.0,,67 m²,,31 July 2020,108933924,,5450000.0000,"35 Beach Road, Mouille Point, Cape Town",Apartment / Flat,,,,,,,,,,,
801,1.0,1.5,,40 m²,1.0,21 August 2020,109017276,,1050000.0000,"4208 Kotzee Road, Observatory, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,
802,2.0,2.0,,124 m²,,17 August 2020,108996228,1.0,5900000.0000,"7 Dover Road, Sea Point, Cape Town",Apartment / Flat,1.0,1.0,,2.0,,,,,,,
803,4.5,4.0,496 m²,338 m²,2.0,25 August 2020,109027341,,7999000.0000,"28 Constance Road, Claremont Upper, Cape Town",House,,,,,,,,,,,
804,2.0,2.0,,78 m²,1.0,18 August 2020,109003443,1.0,3385000.0000,"109 Main, St James, Cape Town",Apartment / Flat,1.0,,,1.0,,,,,,,
805,4.0,4.0,920 m²,,2.0,16 September 2020,109126606,,19000000.0000,"Oranjezicht, Cape Town",House,,1.0,,,,,,,,,
806,2.0,5.0,951 m²,,4.0,26 August 2020,109031206,,,"3 Aandblom Street, Pinelands, Cape Town",House,,1.0,,,,,,,,,
807,2.0,6.0,196 m²,,1.0,21 September 2020,109141172,,3995000.0000,"Salt River, Cape Town",House,,,,,,,,,,,
808,3.0,4.0,550 m²,,1.0,08 September 2020,109088466,,3995000.0000,"33 Bluegum Lane, Tokai, Cape Town",House,1.0,,,1.0,,,,1.0,,,
809,1.0,2.0,,83 m²,,22 September 2020,109148616,,1395000.0000,"Plumstead, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,
810,1.0,2.0,,84 m²,1.0,15 September 2020,109122221,,1750000.0000,"Pinelands, Cape Town",Apartment / Flat,,,,,,,,,,,
811,2.0,3.0,311 m²,166 m²,2.0,05 August 2020,108953523,,4950000.0000,"3d Wolfe Street, Wynberg Upper, Cape Town",House,,,,1.0,,,,,,,
812,6.0,6.0,408 m²,287 m²,,03 September 2020,109063699,,8400000.0000,"Gardens, Cape Town",House,1.0,,,2.0,,,,,,,
813,3.0,3.0,703 m²,140 m²,2.0,14 September 2020,109114774,1.0,3950000.0000,"Meadowridge, Cape Town",House,1.0,,,,,,,,,,
814,2.0,2.0,,77 m²,1.0,18 September 2020,109134757,,2400000.0000,"Rondebosch, Cape Town",Apartment / Flat,,,,,1.0,,,,,,
815,1.0,3.0,180 m²,62 m²,1.0,16 August 2020,108992355,,1495000.0000,"5 Skorpios Way, Muizenberg, Cape Town",House,,,3.0,,,,,,,,
816,1.0,0.5,43 m²,43 m²,,31 August 2020,109047093,,1350000.0000,"64 Keerom Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,,
817,1.0,1.0,,63 m²,,16 September 2020,109128079,1.0,2950000.0000,"Green Point, Cape Town",Apartment / Flat,,,,,,,,,,,
818,5.5,5.0,2 741 m²,,4.0,15 September 2020,109121961,1.0,26950000.0000,"Bishopscourt, Cape Town",House,,1.0,,6.0,,,,,,,
819,1.5,3.0,520 m²,140 m²,2.0,16 August 2020,108992105,,2745000.0000,"16 Smith Street, Plumstead, Cape Town",House,1.0,1.0,,4.0,,,,,,,
820,1.0,2.0,,61 m²,,18 August 2020,109002264,,2290000.0000,"124 Harrington Street, Gardens, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
821,1.0,1.0,,60 m²,,13 September 2020,109111261,,1650000.0000,"31 Brickfield Road, Woodstock, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,
822,1.0,2.0,157 m²,,,04 September 2020,109067424,1.0,2295000.0000,"28 Duke St, Observatory, Cape Town",House,1.0,,,2.0,,,,1.0,,,
823,1.0,1.0,,83 m²,,14 September 2020,109113044,,2880000.0000,"Claremont Upper, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
824,1.0,1.0,,43 m²,1.0,25 August 2020,109026304,,1700000.0000,"43 Buitenkant Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,,1.0,1.0,,,,,
825,1.0,2.0,,96 m²,,14 September 2020,109113063,,1600000.0000,"Pinelands, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,
826,1.0,1.0,85 m²,,,07 September 2020,109072737,,2895000.0000,"53 Main Road, Green Point, Cape Town",Apartment / Flat,,,,,,,,,,,
827,1.0,1.0,,68 m²,1.0,03 August 2020,108941367,,2995000.0000,"37 Hely Hutchinson Avenue, Camps Bay, Cape Town",Apartment / Flat,1.0,,,1.0,,,,,,,
828,2.0,4.0,727 m²,250 m²,2.0,28 August 2020,109042433,,4750000.0000,"187 Milner Road South, Claremont, Cape Town",House,1.0,,,2.0,,,,1.0,,,
829,1.0,2.0,305 m²,,1.0,21 September 2020,109145493,,1250000.0000,"Belhar, Cape Town",House,,,,1.0,,,1.0,,,1.0,
830,2.0,3.0,,88 m²,1.0,17 September 2020,109133784,1.0,1350000.0000,"Muizenberg, Cape Town",Apartment / Flat,1.0,1.0,,,,,,,,,
831,2.0,4.0,790 m²,330 m²,,21 August 2020,109013734,1.0,12950000.0000,"28 Rocklands Avenue, Vredehoek, Cape Town",House,1.0,1.0,,3.0,,,1.0,,,,
832,2.0,3.0,1 200 m²,,1.0,22 September 2020,109147714,,4495000.0000,"Tokai, Cape Town",House,1.0,1.0,,4.0,,,,,,,
833,1.5,2.0,,82 m²,,15 September 2020,109112683,,1650000.0000,"Pinelands, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,
834,1.0,3.0,610 m²,,,03 September 2020,109063689,,,"152 Churchill Road, Plumstead, Cape Town",House,,,,,,,,,,,
835,1.0,3.0,200 m²,60 m²,,15 August 2020,108991704,,1295000.0000,"24 Prince William Street, Southfield, Cape Town",House,,,,2.0,,,,,,,
836,1.0,2.0,,124 m²,1.0,27 August 2020,109038525,,2750000.0000,"Dennekamp, 360 Main Road, Kenilworth Upper, Cape Town",Apartment / Flat,,,,,,,,,,,
837,1.0,1.0,,53 m²,,16 September 2020,109127645,,1150000.0000,"Wynberg Upper, Cape Town",Apartment / Flat,,,,1.0,,1.0,,1.0,,,
838,1.0,2.0,53 m²,53 m²,,04 September 2020,109065983,,795000.0000,"1 Forest Drive, Thornton, Thornton, Cape Town",Apartment / Flat,,,,1.0,,,,,,1.0,
839,2.0,4.0,664 m²,129 m²,3.0,25 August 2020,109026104,1.0,2495000.0000,"26 Aiken Road, Frogmore Estate, Cape Town",House,1.0,,,2.0,,,,,,,
840,2.0,2.0,245 m²,67 m²,1.0,16 September 2020,109097110,1.0,1775000.0000,"16 Greenvalley Close, Diep River, Cape Town",House,1.0,,,1.0,,,,,,,
841,1.0,2.0,,58 m²,,18 September 2020,109138255,,1190000.0000,"Lansdowne, Cape Town",Apartment / Flat,,,1.0,,,,,,,,
842,2.0,2.0,,68 m²,,30 July 2020,108933614,1.0,1699000.0000,"6 Morton Road, Plumstead, Cape Town",Townhouse,,,1.0,,,,,,,,
843,2.5,2.0,,187 m²,,02 September 2020,109058589,,6250000.0000,"1002 Fort Road, Sea Point, Cape Town",Apartment / Flat,,,2.0,,,,,,,,
844,2.0,2.0,8 486 m²,118 m²,,16 August 2020,108992418,,4995000.0000,"57 Prestwich, De Waterkant, Cape Town",Apartment / Flat,,1.0,,2.0,1.0,,,,,,
845,4.0,3.0,822 m²,,2.0,28 August 2020,109042479,,19000000.0000,"11129 Steenberg Estate, Off Steenberg Road, Steenberg Golf Estate, Cape Town",House,1.0,,,2.0,,,,1.0,,,
846,1.0,0.5,,33 m²,,03 September 2020,109064372,,1595000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,
847,1.0,1.0,,59 m²,,14 September 2020,109111964,,995000.0000,"Diep River, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
848,2.0,4.0,,224 m²,2.0,25 March 2019,107333095,,12500000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,1.0,,,,,,
849,1.0,2.0,,,,14 September 2020,109114886,,950000.0000,"37 Mountain Road, Matroosfontein, Cape Town",House,,,,,,,,,,,
850,2.5,3.0,,111 m²,1.0,12 September 2020,109109711,,2095000.0000,"Plumstead, Cape Town",Townhouse,1.0,,,1.0,,,,,,,
851,1.0,3.0,155 m²,,1.0,28 August 2020,109040598,,2175000.0000,"3 Chamberlain Street, Woodstock, Cape Town",House,1.0,,,,,,,1.0,,,
852,1.0,0.5,,39 m²,1.0,14 September 2020,109115719,,2175000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,
853,2.0,3.0,,153 m²,,17 September 2020,109131900,1.0,8000000.0000,"Fresnaye, Cape Town",Apartment / Flat,,1.0,,2.0,,,,,,,
854,1.0,1.0,,30 m²,,23 August 2020,109019706,,375000.0000,"227 Main Road Wynberg, Wynberg, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
